789234     CC        5678    68022014        1    2021-02-17   20149    4790000,00     01
789234     CC        5678    68022014        1    2021-02-16   20149    4790000,00     01
789234     CC        5678    68022014        1    2021-02-15   20149    4790000,00     01
789234     CC        5678    68022014        1    2021-02-14   20149    4790000,00     01
789234     CC        5678    68022014        1    2021-02-12   20149    4790000,00     01
789234     CC        5678    68022014        1    2021-02-11   20149    4790000,00     01
789234     CC        5678    68022014        1    2021-02-11   20149    4790000,00     01

345699     CA        9078    87012345        2    2021-02-11   36790    2880000,00     02
345699     CA        9078    87012345        2    2021-02-10   36790    2880000,00     02
345699     CA        9078    87012345        2    2021-02-09   36790    2880000,00     02
345699     CA        9078    87012345        2    2021-02-08   36790    2880000,00     02
345699     CA        9078    87012345        2    2021-02-07   36790    2880000,00     02
345699     CA        9078    87012345        2    2021-02-06   36790    2880000,00     02

456230     PF        1245    54568852        3    2021-01-05   44663    7800000,00     03
456230     PF        1245    54568852        3    2021-01-05   44663    7800000,00     03
456230     PF        1245    54568852        3    2021-01-05   44663    7800000,00     03
456230     PF        1245    54568852        3    2021-01-05   44663    7800000,00     03
456230     PF        1245    54568852        3    2021-01-05   44663    7800000,00     03
456230     PF        1245    54568852        3    2021-01-05   44663    7800000,00     03
